id	year	name	location	medium	comment
1940-comics-title-silhouette		Batman	Title Logo (Silhouette)	Comics
1940-comics-title-shadow		Batman	Title Logo (Shadow)	Comics
1957-comics-title-silhouette		Batman	Title Logo (Silhouette)	Comics
1957-comics-title-shadow		Batman	Title Logo (Shadow)	Comics
1960-comics-title		Batman	Title Logo	Comics
1966-tv-title		Batman	Scene Transitions	TV Show
1970-comics-title		Batman	Title Logo	Comics	as drawn by Neal Adams
1983-comics-title		Batman and The Outsiders	Title Logo	Comics
1993-cartoon-title-silhouette		Batman The Animated Series	Title Logo (Silhouette)	Cartoon
1993-cartoon-title-shadow		Batman The Animated Series	Title Logo (Shadow)	Cartoon
1994-cartoon-title		The New Adventures of Batman and Robin	Title Logo	Cartoon
2000-comics-title-batgirl		Batgirl	Title Logo	Comics
2000-comics-logo		Gotham Knights	Title Logo	Comics
2006-comics-title-silhouette		Batman	Title Logo (Silhouette)	Comics
2006-comics-title-shadow		Batman	Title Logo (Shadow)	Comics
2009-comics-title		Batman and Robin	Title Logo	Comics
2013-tv-title		Beware the Batman	Title Logo	Animated Show
2001-comics-logo		Batman Comics Group	Comic Group's Logo	Comics
2008-comics-logo		Batman Comics Group	Comic Group's Logo	Comics
